sensor,time,pm_1,pm_25,pm_10,location
3,14354,22,38,49,in
3,15196,22,38,49,in
3,16036,22,38,49,in
3,16950,22,39,50,in
3,17792,21,38,49,in
3,18632,21,38,49,in
3,19546,22,38,48,in
3,20387,22,38,48,in
3,21228,22,38,48,in
3,22141,22,39,50,in
3,22983,22,39,50,in
3,23824,22,39,50,in
3,24737,23,40,50,in
3,25579,23,40,50,in
3,26420,23,40,50,in
3,27333,23,41,51,in
3,28175,23,41,51,in
3,29016,23,41,51,in
3,29929,23,40,51,in
3,30771,23,40,51,in
3,31611,23,40,51,in
3,32525,24,40,51,in
3,33366,24,40,51,in
3,34207,24,40,51,in
3,35121,24,41,51,in
3,35962,24,41,51,in
3,36803,24,41,51,in
3,37716,24,40,51,in
3,38557,25,41,52,in
3,39399,25,41,52,in
3,40311,26,42,53,in
3,41153,26,42,53,in
3,41995,25,41,52,in
3,42908,25,41,52,in
3,43821,25,40,51,in
3,44734,25,41,51,in
3,45646,24,40,50,in
3,46559,24,40,49,in
3,47471,22,38,48,in
3,48385,22,38,46,in
3,49296,21,37,46,in
3,50208,21,35,44,in
3,51122,21,35,41,in
3,52034,19,32,36,in
3,52946,19,33,38,in
3,53859,18,33,37,in
3,54771,18,32,38,in
3,55612,18,32,38,in
3,56524,18,32,37,in
3,57366,18,32,37,in
3,58208,18,32,37,in
3,59120,18,32,38,in
3,59962,18,32,38,in
3,60804,18,32,38,in
3,61716,18,32,40,in
3,62558,19,33,41,in
3,63398,19,33,41,in
3,64311,20,33,41,in
3,65153,19,32,40,in
3,65994,19,32,40,in
3,66907,18,33,41,in
3,67747,18,33,41,in
3,68589,18,33,41,in
3,69501,18,32,40,in
3,70343,18,32,40,in
3,71184,18,32,40,in
3,72096,19,33,41,in
3,72938,19,33,41,in
3,73779,19,33,41,in
3,74692,19,31,40,in
3,75533,19,31,40,in
3,76375,19,31,40,in
3,77288,21,33,43,in
3,78129,21,33,43,in
3,78970,21,33,43,in
3,79883,22,35,42,in
3,80723,22,35,42,in
3,81565,22,35,42,in
3,82478,22,36,45,in
3,83319,21,35,44,in
3,84160,21,35,44,in
3,85073,21,34,42,in
3,85914,21,34,42,in
3,86756,22,35,43,in
3,87669,22,36,45,in
3,88510,22,36,45,in
3,89352,21,35,44,in
3,90264,22,35,44,in
3,91106,22,35,44,in
3,91948,23,36,45,in
3,92860,23,37,48,in
3,93702,23,37,48,in
3,94542,23,37,48,in
3,95455,23,38,49,in
3,96368,24,38,49,in
3,97281,23,38,48,in
3,98194,23,39,49,in
3,99106,24,39,49,in
3,100019,24,39,48,in
3,100932,23,39,49,in
3,101844,23,39,48,in
3,102757,22,38,47,in
3,103669,22,37,44,in
3,104583,23,39,47,in
3,105495,23,39,46,in
3,106407,23,39,48,in
3,107249,23,39,48,in
3,108090,23,39,48,in
3,109003,23,38,47,in
3,109844,23,38,47,in
3,110686,23,38,47,in
3,111598,23,38,47,in
3,112440,23,38,47,in
3,113281,22,37,46,in
3,114194,22,37,46,in
3,115035,22,37,46,in
3,115876,22,37,46,in
3,116789,21,35,43,in
3,117629,21,35,43,in
3,118471,21,35,43,in
3,119384,21,35,43,in
3,120225,21,35,43,in
3,121066,21,35,43,in
3,121978,22,35,43,in
3,122820,22,35,43,in
3,123661,22,35,43,in
3,124574,22,35,44,in
3,125416,23,36,45,in
3,126257,23,36,45,in
3,127169,23,36,45,in
3,128011,23,36,45,in
3,128851,23,36,45,in
3,129765,23,37,46,in
3,130606,23,37,46,in
3,131447,23,37,46,in
3,132360,23,36,45,in
3,133201,23,36,45,in
3,134042,23,36,45,in
3,134956,23,37,46,in
3,135869,24,39,48,in
3,136781,23,38,48,in
3,137694,23,39,49,in
3,138606,22,39,51,in
3,139520,23,40,52,in
3,140432,24,41,53,in
3,141345,24,41,52,in
3,142258,25,42,53,in
3,143171,25,42,53,in
3,144083,23,41,52,in
3,144996,23,40,50,in
3,145909,23,40,51,in
3,146822,23,41,52,in
3,147663,23,41,52,in
3,148576,23,40,49,in
3,149487,24,40,50,in
3,150400,23,39,50,in
3,151313,23,40,51,in
3,152225,22,39,51,in
3,153138,22,37,49,in
3,154050,21,38,49,in
3,154962,21,38,51,in
3,155875,20,35,49,in
3,156787,19,34,46,in
3,157700,19,34,46,in
3,158612,19,33,43,in
3,159524,19,32,42,in
3,160365,19,32,42,in
3,161207,19,32,42,in
3,162119,19,31,40,in
3,162960,19,31,40,in
3,163802,19,31,40,in
3,164713,17,30,36,in
3,165555,17,30,36,in
3,166396,17,30,36,in
3,167308,17,30,37,in
3,168150,17,30,37,in
3,168990,17,30,37,in
3,169903,18,30,37,in
3,170744,18,30,37,in
3,171586,18,30,37,in
3,172498,18,30,34,in
3,173339,18,30,34,in
3,174181,18,30,34,in
3,175093,18,30,34,in
3,175934,18,30,34,in
3,176776,18,30,34,in
3,177688,18,30,34,in
3,178529,18,30,34,in
3,179371,18,30,34,in
3,180282,18,29,34,in
3,181124,18,29,34,in
3,181965,19,30,35,in
3,182878,20,32,39,in
3,183789,20,32,40,in
3,184702,19,32,39,in
3,185615,19,33,41,in
3,186527,19,34,43,in
3,187440,20,34,43,in
3,188352,20,36,45,in
3,189264,20,36,44,in
3,190178,21,38,48,in
3,191090,23,40,53,in
3,192004,23,40,52,in
3,192916,24,41,53,in
3,193829,24,42,53,in
3,194670,24,42,53,in
3,195512,24,42,53,in
3,196424,23,40,53,in
3,197265,23,40,53,in
3,198107,23,40,53,in
3,199019,23,39,51,in
3,199861,24,40,52,in
3,200701,24,40,52,in
3,201614,24,40,53,in
3,202456,24,40,53,in
3,203296,24,40,53,in
3,204209,23,40,53,in
3,205050,23,40,53,in
3,205891,22,39,52,in
3,206804,23,39,53,in
3,207645,23,39,53,in
3,208487,23,39,53,in
3,209399,23,39,52,in
3,210241,23,39,52,in
3,211082,23,39,52,in
3,211994,23,40,50,in
3,212836,23,40,50,in
3,213677,23,40,50,in
3,214589,23,40,50,in
3,215431,23,40,50,in
3,216271,23,40,50,in
3,217185,22,41,54,in
3,218097,23,40,53,in
3,219010,23,40,52,in
3,219922,22,40,53,in
3,220834,22,40,51,in
3,221747,23,39,51,in
3,222660,23,39,50,in
3,223572,22,39,50,in
3,224485,22,38,49,in
3,225397,22,38,49,in
3,226310,21,34,42,in
3,227223,21,35,43,in
3,228135,21,35,44,in
3,228976,21,35,44,in
3,229818,22,36,46,in
3,230729,22,36,47,in
3,231571,22,36,47,in
3,232412,21,35,45,in
3,233324,21,35,45,in
3,234166,21,35,45,in
3,235006,21,35,45,in
3,235920,21,35,48,in
3,236831,19,35,48,in
3,237744,19,34,46,in
3,238656,21,36,49,in
3,239569,21,36,49,in
3,240482,21,37,52,in
3,241394,20,36,51,in
3,242307,20,36,50,in
3,243219,20,35,49,in
3,244131,20,36,49,in
3,245044,20,36,46,in
3,245956,20,36,47,in
3,246868,20,35,47,in
3,247709,19,34,46,in
3,248551,19,34,46,in
3,249463,19,34,44,in
3,250305,20,35,45,in
3,251146,20,35,45,in
3,252058,19,32,42,in
3,252899,19,32,42,in
3,253741,19,32,42,in
3,254652,18,31,36,in
3,255493,18,31,36,in
3,256334,18,31,36,in
3,257246,17,30,34,in
3,258087,17,30,34,in
3,258928,17,30,34,in
3,259841,17,30,34,in
3,260682,17,30,34,in
3,261523,17,30,34,in
3,262435,18,30,35,in
3,263277,18,30,35,in
3,264118,18,30,35,in
3,265031,18,30,35,in
3,265872,18,30,35,in
3,266714,18,30,35,in
3,267626,18,30,35,in
3,268468,18,30,35,in
3,269308,18,30,35,in
3,270221,18,30,34,in
3,271063,18,30,34,in
3,271903,18,30,34,in
3,272817,20,30,38,in
3,273729,20,32,41,in
3,274641,20,33,43,in
3,275554,20,33,45,in
3,276466,21,35,47,in
3,277379,22,36,47,in
3,278292,22,36,47,in
3,279204,21,36,47,in
3,280117,21,35,47,in
3,281029,21,36,45,in
3,281940,20,35,42,in
3,282853,20,34,41,in
3,283765,20,35,40,in
3,284606,20,35,40,in
3,285448,20,35,40,in
3,286360,20,33,39,in
3,287272,19,32,37,in
3,288185,19,32,37,in
3,289096,18,32,35,in
3,290009,18,32,35,in
3,290920,17,30,34,in
3,291832,16,30,32,in
3,292744,15,29,32,in
3,293656,15,28,30,in
3,294567,14,26,28,in
3,295479,14,28,29,in
3,296391,13,28,29,in
3,297304,13,28,28,in
3,298144,13,28,28,in
3,298986,13,28,28,in
3,299897,13,27,27,in
3,300739,13,27,27,in
3,301580,13,27,27,in
3,302492,13,27,28,in
3,303333,13,27,28,in
3,304175,13,27,28,in
3,305087,15,29,30,in
3,305929,15,29,30,in
3,306769,15,29,30,in
3,307682,14,28,29,in
3,308523,14,28,29,in
3,309364,14,28,29,in
3,310277,16,29,32,in
3,311117,16,29,32,in
3,311959,16,29,32,in
3,312870,16,29,32,in
3,313783,16,31,34,in
3,314695,16,30,36,in
3,315608,17,31,37,in
3,316520,17,31,37,in
3,317431,17,32,38,in
3,318344,17,30,35,in
3,319255,16,30,35,in
3,320167,16,30,35,in
3,321080,16,30,34,in
3,321991,15,29,36,in
3,322904,15,28,35,in
3,323816,16,28,34,in
3,324657,16,28,34,in
3,325498,17,29,35,in
3,326411,17,30,37,in
3,327252,17,30,37,in
